lr-AdamW,step,utils/points_in_common,train/loss_step,train/loss_cluster_step,train/loss_cluster_region_step,train/loss_w_ce_step,train/loss_w_reg_step,gamma_step,train/re_loss_w_ce_step,train/re_loss_w_reg_step,regamma_step,w/w0_step,w/w1_step,w/w2_step,w/w3_step,w/region_w0_step,w/region_w1_step,w/region_w2_step,w/region_w3_step,epoch,valid/loss,valid/IoU/person,valid/IoU/rider,valid/IoU/car,valid/IoU/trunk,valid/IoU/plants,valid/IoU/traffic sign,valid/IoU/pole,valid/IoU/trashcan,valid/IoU/building,valid/IoU/cone-stone,valid/IoU/fence,valid/IoU/bike,valid/IoU/other-ground,valid/mIoU,train/loss_epoch,train/loss_cluster_epoch,train/loss_cluster_region_epoch,train/loss_w_ce_epoch,train/loss_w_reg_epoch,gamma_epoch,train/re_loss_w_ce_epoch,train/re_loss_w_reg_epoch,regamma_epoch,w/w0_epoch,w/w1_epoch,w/w2_epoch,w/w3_epoch,w/region_w0_epoch,w/region_w1_epoch,w/region_w2_epoch,w/region_w3_epoch
,549,0.9953983426094055,2.531951665878296,0.565139651298523,1.966812014579773,0.05265570804476738,0.029536962509155273,0.25,0.07771149277687073,0.47267279028892517,1.0,0.3113337457180023,0.24056166410446167,0.2857459485530853,0.1626986414194107,0.025101501494646072,0.5553116202354431,0.16606706380844116,0.2534993290901184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,0.9929846525192261,2.55839204788208,0.6237051486968994,1.9346867799758911,0.0456131286919117,0.0758790671825409,0.25,0.07789282500743866,0.6500407457351685,1.0,0.14886145293712616,0.42036110162734985,0.22652684152126312,0.20448805391788483,0.011341338977217674,0.5487726926803589,0.18070563673973083,0.25917893648147583,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,621,,,,,,,,,,,,,,,,,,,0,2.1401681900024414,0.4786604046821594,0.03229932487010956,0.04897541552782059,0.21746069192886353,0.44489699602127075,0.21686550974845886,0.29024285078048706,0.03196223825216293,0.3878973424434662,0.0,0.4338967204093933,0.44521233439445496,0.8285112380981445,0.2966831624507904,,,,,,,,,,,,,,,,,
,621,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2.8986682891845703,0.8691251277923584,2.02954363822937,0.08459866046905518,0.020886708050966263,0.4585188329219818,0.12064094096422195,0.5756022334098816,0.9999995231628418,0.26147401332855225,0.2575972080230713,0.25328198075294495,0.227887362241745,0.019597724080085754,0.5594785809516907,0.16711600124835968,0.2537960708141327
0.0009757729755661011,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,0.9952366948127747,2.5524096488952637,0.5879847407341003,1.9644248485565186,0.042042821645736694,0.03387513756752014,0.25,0.07111021876335144,0.38345855474472046,1.0,0.3233550190925598,0.19440151751041412,0.30047908425331116,0.18205994367599487,0.027928601950407028,0.44605278968811035,0.19953405857086182,0.32648321986198425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,0.9961758852005005,2.5531013011932373,0.6011864542961121,1.95191490650177,0.038483086973428726,0.005640625953674316,0.25,0.0762711837887764,0.5390905141830444,1.0,0.22145093977451324,0.25359398126602173,0.29332786798477173,0.23186028003692627,0.01613079011440277,0.44884175062179565,0.17793086171150208,0.35709574818611145,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,0.9945986270904541,2.4978270530700684,0.5627517700195312,1.935075283050537,0.03880631551146507,0.008172333240509033,0.25,0.06715533882379532,0.5432503819465637,1.0,0.2790071666240692,0.22440314292907715,0.283522367477417,0.21332982182502747,0.01693580485880375,0.45822426676750183,0.16817377507686615,0.3566630482673645,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,0.99622642993927,2.4984586238861084,0.5407633185386658,1.9576952457427979,0.057678624987602234,0.01896536350250244,0.25,0.07684970647096634,0.5475751161575317,1.0,0.32605621218681335,0.26206251978874207,0.1987784504890442,0.21338316798210144,0.01919517293572426,0.49014943838119507,0.14101888239383698,0.34940847754478455,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,849,0.9989858269691467,2.5030159950256348,0.550661563873291,1.9523544311523438,0.043196626007556915,0.010436326265335083,0.25,0.07544763386249542,0.4798937141895294,1.0,0.20947743952274323,0.219889834523201,0.292746365070343,0.278108149766922,0.021638859063386917,0.4709090292453766,0.1619000881910324,0.3455462157726288,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,899,0.9961920976638794,2.3930823802948,0.448990136384964,1.9440922737121582,0.052087604999542236,0.014922767877578735,0.25,0.07436583191156387,0.6204718947410583,1.0,0.31676390767097473,0.20931687951087952,0.208638995885849,0.2655457556247711,0.013191606849431992,0.3963908553123474,0.13964177668094635,0.45076102018356323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,949,0.9957000613212585,2.424853801727295,0.48956215381622314,1.9352915287017822,0.04306963086128235,0.0015121996402740479,0.25,0.07733449339866638,0.5504570007324219,1.0,0.25200939178466797,0.23245130479335785,0.2747518718242645,0.24108196794986725,0.014719708822667599,0.45106226205825806,0.15897227823734283,0.3752443194389343,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,0.9963722229003906,2.3673393726348877,0.43694978952407837,1.930389642715454,0.041166163980960846,0.0040055811405181885,0.25,0.06331715732812881,0.568313717842102,1.0,0.28395700454711914,0.22812321782112122,0.2536482810974121,0.23453669250011444,0.013266299851238728,0.40356045961380005,0.1849355846643448,0.3982364535331726,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1049,0.9942775368690491,2.3215627670288086,0.3772197365760803,1.944343090057373,0.03958040848374367,0.0026108920574188232,0.25,0.07211724668741226,0.667461097240448,1.0,0.2614441514015198,0.23238281905651093,0.23095360398292542,0.27544867992401123,0.012765111401677132,0.5148442983627319,0.12172894179821014,0.3506515324115753,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1099,0.9957894682884216,2.2563610076904297,0.3344610035419464,1.9219000339508057,0.03868361935019493,0.006607711315155029,0.25,0.06853261590003967,0.5309916734695435,1.0,0.27675724029541016,0.20766238868236542,0.277461439371109,0.2383825033903122,0.017506740987300873,0.3892056941986084,0.15699094533920288,0.43629446625709534,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1149,0.991756021976471,2.283781051635742,0.361255943775177,1.92252516746521,0.034840501844882965,0.004598796367645264,0.25,0.06946417689323425,0.5912526845932007,1.0,0.2628694176673889,0.22276227176189423,0.23452536761760712,0.28009605407714844,0.01436819788068533,0.48658818006515503,0.15650515258312225,0.3425295948982239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009757729755661011,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
